model,model_label,seed,anchor_date,days_to_event_start,label,probability,selected_threshold,alert,source_file
temporal_gru,Temporal-GRU,21,2022-03-01,67,0,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-03-09,59,0,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-03-17,51,0,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-03-25,43,0,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-04-02,35,0,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-04-10,27,1,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-04-18,19,1,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-04-26,11,1,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,21,2022-05-04,3,1,0.042724609375,0.040771484375,1,/mnt/data/_points/causal30_v1/seed_21/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-03-01,67,0,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-03-09,59,0,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-03-17,51,0,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-03-25,43,0,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-04-02,35,0,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
temporal_gru,Temporal-GRU,42,2022-04-10,27,1,0.0654296875,0.06640625,0,/mnt/data/_points/causal30_v1/seed_42/temporal_gru/predictions_test.npz
